isin,name,nse,bse,yahoo,industry_group,industry,price,mcap_cr
INE002A01018,Reliance Industries,RELIANCE,500325,RELIANCE.NS,Petroleum Products,Refineries & Marketing,1316,1780881.61
INE397D01024,Bharti Airtel,BHARTIARTL,532454,BHARTIARTL.NS,Telecom - Services,Telecom - Cellular & Fixed line services,1946,1214401.51
INE040A01034,HDFC Bank,HDFCBANK,500180,HDFCBANK.NS,Banks,Private Sector Bank,726.95,1120311.43
INE090A01021,ICICI Bank,ICICIBANK,532174,ICICIBANK.NS,Banks,Private Sector Bank,1420,1019048.09
INE062A01020,SBI,SBIN,500112,SBIN.NS,Banks,Public Sector Bank,1048.7,968014.87
INE467B01029,TCS,TCS,532540,TCS.NS,IT - Software,Computers - Software & Consulting,2302,832883.75
INE296A01032,Bajaj Finance,BAJFINANCE,500034,BAJFINANCE.NS,Finance,Non Banking Financial Company (NBFC),1095,681742
INE018A01030,Larsen & Toubro,LT,500510,LT.NS,Construction,Civil Construction,4093,563141.99
INE0J1Y01017,Life Insurance,LICI,543526,LICI.NS,Insurance,Life Insurance,422.25,534146.06
INE030A01027,Hind. Unilever,HINDUNILVR,500696,HINDUNILVR.NS,Diversified FMCG,Diversified FMCG,2015,473442.64
INE044A01036,Sun Pharma.Inds.,SUNPHARMA,524715,SUNPHARMA.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,1902.4,456449.48
INE009A01021,Infosys,INFY,500209,INFY.NS,IT - Software,Computers - Software & Consulting,1121,454908.14
INE280A01028,Titan Company,TITAN,500114,TITAN.NS,Consumer Durables,"Gems, Jewellery And Watches",5086.1,451536.92
INE585B01010,Maruti Suzuki,MARUTI,532500,MARUTI.NS,Automobiles,Passenger Cars & Utility Vehicles,13565,426487.09
INE101A01026,M & M,M&M,500520,M&M.NS,Automobiles,Passenger Cars & Utility Vehicles,3412.2,424316.91
INE423A01024,Adani Enterp.,ADANIENT,512599,ADANIENT.NS,Metals & Minerals Trading,Trading - Minerals,2997,405622.85
INE237A01036,Kotak Mah. Bank,KOTAKBANK,500247,KOTAKBANK.NS,Banks,Private Sector Bank,402.8,400691.58
INE814H01029,Adani Power,ADANIPOWER,533096,ADANIPOWER.NS,Power,Integrated Power Utilities,205.5,396300.48
INE742F01042,Adani Ports,ADANIPORTS,532921,ADANIPORTS.NS,Transport Infrastructure,Port & Port services,1700,391673.05
INE238A01034,Axis Bank,AXISBANK,532215,AXISBANK.NS,Banks,Private Sector Bank,1245.8,387805.76
INE860A01027,HCL Technologies,HCLTECH,532281,HCLTECH.NS,IT - Software,Computers - Software & Consulting,1302.5,353454.88
INE481G01011,UltraTech Cem.,ULTRACEMCO,532538,ULTRACEMCO.NS,Cement & Cement Products,Cement & Cement Products,11570,340943.8
INE154A01025,ITC,ITC,500875,ITC.NS,Diversified FMCG,Diversified FMCG,269.4,337552.33
INE066F01020,Hind.Aeronautics,HAL,541154,HAL.NS,Aerospace & Defense,Aerospace & Defense,5000,334387.5
INE733E01010,NTPC,NTPC,532555,NTPC.NS,Power,Power Generation,340,329686.65
INE918I01026,Bajaj Finserv,BAJAJFINSV,532978,BAJAJFINSV.NS,Finance,Holding Company,2032.5,325618.97
INE917I01010,Bajaj Auto,BAJAJ-AUTO,532977,BAJAJ-AUTO.NS,Automobiles,2/3 Wheelers,11700,321520.49
INE758T01015,Eternal,ETERNAL,543320,ETERNAL.NS,Retailing,E-Retail/ E-Commerce,328,316531.5
INE019A01038,JSW Steel,JSWSTEEL,500228,JSWSTEEL.NS,Ferrous Metals,Iron & Steel,1293.7,316368.38
INE263A01024,Bharat Electron,BEL,500049,BEL.NS,Aerospace & Defense,Aerospace & Defense,414,302624.84
INE213A01029,O N G C,ONGC,500312,ONGC.NS,Oil,Oil Exploration & Production,236.4,297397.8
INE239A01024,Nestle India,NESTLEIND,500790,NESTLEIND.NS,Food Products,Packaged Foods,1477.1,284831.31
INE721A01047,Shriram Finance,SHRIRAMFIN,511218,SHRIRAMFIN.NS,Finance,Non Banking Financial Company (NBFC),1130,265887.14
INE192R01011,Avenue Super.,DMART,540376,DMART.NS,Retailing,Diversified Retail,3906,254767.28
INE752E01010,Power Grid Corpn,POWERGRID,532898,POWERGRID.NS,Power,Power - Transmission,272.4,253348.45
INE021A01026,Asian Paints,ASIANPAINT,500820,ASIANPAINT.NS,Consumer Durables,Paints,2640,253228.22
INE267A01025,Hindustan Zinc,HINDZINC,500188,HINDZINC.NS,Non - Ferrous Metals,Zinc,594.9,251364.23
INE522F01014,Coal India,COALINDIA,533278,COALINDIA.NS,Consumable Fuels,Coal,405.2,249713.75
INE038A01020,Hindalco Inds.,HINDALCO,500440,HINDALCO.NS,Non - Ferrous Metals,Aluminium,1034,232363.22
INE081A01020,Tata Steel,TATASTEEL,500470,TATASTEEL.NS,Ferrous Metals,Iron & Steel,183,228448.55
INE361B01024,Divi's Lab.,DIVISLAB,532488,DIVISLAB.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,8597,228223.34
INE047A01021,Grasim Inds,GRASIM,500300,GRASIM.NS,Cement & Cement Products,Cement & Cement Products,3308,225121.23
INE066A01021,Eicher Motors,EICHERMOT,505200,EICHERMOT.NS,Automobiles,2/3 Wheelers,8010,219891.89
INE364U01010,Adani Green,ADANIGREEN,541450,ADANIGREEN.NS,Power,Power Generation,1320,217427.25
INE494B01023,TVS Motor Co.,TVSMOTOR,532343,TVSMOTOR.NS,Automobiles,2/3 Wheelers,4390,208563.24
INE646L01027,Interglobe Aviat,INDIGO,539448,INDIGO.NS,Transport Services,Airline,5110,197586.63
INE242A01010,I O C L,IOC,530965,IOC.NS,Petroleum Products,Refineries & Marketing,135.9,191907.63
INE931S01010,Adani Energy Sol,ADANIENSOL,539254,ADANIENSOL.NS,Power,Power Distribution,1541.9,188567.35
INE685A01028,Torrent Pharma.,TORNTPHARM,500420,TORNTPHARM.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,4896.5,186247.12
INE0V6F01027,Hyundai Motor I,HYUNDAI,544274,HYUNDAI.NS,Automobiles,Passenger Cars & Utility Vehicles,2218.8,180286.62
INE343H01029,Solar Industries,SOLARINDS,532725,SOLARINDS.NS,Chemicals & Petrochemicals,Explosives,19900,180075.21
INE123W01016,SBI Life Insuran,SBILIFE,540719,SBILIFE.NS,Insurance,Life Insurance,1792.9,179874.67
INE075A01022,Wipro,WIPRO,507685,WIPRO.NS,IT - Software,Computers - Software & Consulting,180.79,179064.13
INE775A01035,Samvardh. Mothe.,MOTHERSON,517334,MOTHERSON.NS,Auto Components,Auto Components & Equipments,169.38,178771.15
INE1TAE01010,Tata Motors,TMCV,544569,TMCV.NS,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,472.55,174026
INE1CDF01017,Vedanta Aluminium Metal,VAML,544780,VAML.NS,Non - Ferrous Metals,Aluminium,440.3,172174.39
INE271C01023,DLF,DLF,532868,DLF.NS,Realty,"Residential, Commercial Projects",678.1,167850.89
INE318A01026,Pidilite Inds.,PIDILITIND,500331,PIDILITIND.NS,Chemicals & Petrochemicals,Specialty Chemicals,1649,167833.63
INE346A01027,ICICI AMC,ICICIAMC,544658,ICICIAMC.NS,Capital Markets,Asset Management Company,3269.7,161607.71
INE758E01017,Jio Financial,JIOFIN,543940,JIOFIN.NS,Finance,Investment Company,244,161116.66
INE121A01024,Cholaman.Inv.&Fn,CHOLAFIN,511243,CHOLAFIN.NS,Finance,Non Banking Financial Company (NBFC),1862.9,159103.95
INE117A01022,A B B,ABB,500002,ABB.NS,Electrical Equipment,Heavy Electrical Equipment,7424,157320.78
INE849A01020,Trent,TRENT,500251,TRENT.NS,Retailing,Speciality Retail,2924,155917.12
INE669C01036,Tech Mahindra,TECHM,532755,TECHM.NS,IT - Software,Computers - Software & Consulting,1584,155245.43
INE976I01016,Tata Capital,TATACAP,544574,TATACAP.NS,Finance,Non Banking Financial Company (NBFC),365.05,154958.94
INE07Y701011,Hitachi Energy,POWERINDIA,543187,POWERINDIA.NS,Electrical Equipment,Heavy Electrical Equipment,34190,152392.92
INE669E01016,Vodafone Idea,IDEA,532822,IDEA.NS,Telecom - Services,Telecom - Cellular & Fixed line services,13.94,151030.19
INE200M01039,Varun Beverages,VBL,540180,VBL.NS,Beverages,Other Beverages,430.1,145479.82
INE257A01026,B H E L,BHEL,500103,BHEL.NS,Electrical Equipment,Heavy Electrical Equipment,413,143809.22
INE323A01026,Bosch,BOSCHLTD,500530,BOSCHLTD.NS,Auto Components,Auto Components & Equipments,48200,142171.2
INE298A01020,Cummins India,CUMMINSIND,500480,CUMMINSIND.NS,Industrial Products,"Compressors, Pumps & Diesel Engines",5107.5,141579.9
INE692A01016,Union Bank (I),UNIONBANK,532477,UNIONBANK.NS,Banks,Public Sector Bank,183.45,140038.49
INE003A01024,Siemens,SIEMENS,500550,SIEMENS.NS,Electrical Equipment,Heavy Electrical Equipment,3920,139599.24
INE067A01029,CG Power & Ind,CGPOWER,500093,CGPOWER.NS,Electrical Equipment,Heavy Electrical Equipment,867,136591.52
INE455K01017,Polycab India,POLYCAB,542652,POLYCAB.NS,Industrial Products,Cables - Electricals,8966,135096.66
INE029A01011,B P C L,BPCL,500547,BPCL.NS,Petroleum Products,Refineries & Marketing,311,134927.52
INE160A01022,Punjab Natl.Bank,PNB,532461,PNB.NS,Banks,Public Sector Bank,116.55,133950.25
INE214T01019,LTM,LTM,540005,LTM.NS,IT - Software,Computers - Software & Consulting,4487.8,133117.72
INE118H01025,BSE,BSE,,BSE.NS,Capital Markets,Exchange and Data Platform,3241,132005.63
INE216A01030,Britannia Inds.,BRITANNIA,500825,BRITANNIA.NS,Food Products,Packaged Foods,5365,129225.84
INE028A01039,Bank of Baroda,BANKBARODA,532134,BANKBARODA.NS,Banks,Public Sector Bank,247,127732.65
INE118A01012,Bajaj Holdings,BAJAJHLDNG,500490,BAJAJHLDNG.NS,Finance,Holding Company,11320,125980.28
INE437A01024,Apollo Hospitals,APOLLOHOSP,508869,APOLLOHOSP.NS,Healthcare Services,Hospital,8693,124992
INE670K01029,Lodha Developers,LODHA,543287,LODHA.NS,Realty,"Residential, Commercial Projects",1242,124097.97
INE0HOQ01053,Billionbrains,GROWW,544603,GROWW.NS,Capital Markets,Stockbroking & Allied,197.01,123596.13
INE1NPP01017,Siemens Ener.Ind,ENRIN,544390,ENRIN.NS,Electrical Equipment,Heavy Electrical Equipment,3435.6,122348.76
INE414G01012,Muthoot Finance,MUTHOOTFIN,533398,MUTHOOTFIN.NS,Finance,Non Banking Financial Company (NBFC),3022,121323.77
INE795G01014,HDFC Life Insur.,HDFCLIFE,540777,HDFCLIFE.NS,Insurance,Life Insurance,554.8,120528.91
INE134E01011,Power Fin.Corpn.,PFC,532810,PFC.NS,Finance,Financial Institution,363,119793.69
INE245A01021,Tata Power Co.,TATAPOWER,500400,TATAPOWER.NS,Power,Integrated Power Utilities,374.3,119601.56
INE562A01011,Indian Bank,INDIANB,532814,INDIANB.NS,Banks,Public Sector Bank,876.9,118115.27
INE476A01022,Canara Bank,CANBK,532483,CANBK.NS,Banks,Public Sector Bank,129.96,117882.18
INE155A01022,Tata Motors PVeh,TMPV,500570,TMPV.NS,Automobiles,Passenger Cars & Utility Vehicles,317.9,117079.12
INE059A01026,Cipla,CIPLA,500087,CIPLA.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,1432.2,115700.73
INE749A01030,Jindal Steel,JINDALSTEL,532286,JINDALSTEL.NS,Ferrous Metals,Iron & Steel,1127.8,115045.54
INE956O01016,Lenskart Solut.,LENSKART,544600,LENSKART.NS,Retailing,Speciality Retail,661.4,115037.71
INE158A01026,Hero Motocorp,HEROMOTOCO,500182,HEROMOTOCO.NS,Automobiles,2/3 Wheelers,5735,114780.98
INE854D01024,United Spirits,UNITDSPR,532432,UNITDSPR.NS,Beverages,Breweries & Distilleries,1556,113175.79
INE129A01019,GAIL (India),GAIL,532155,GAIL.NS,Gas,Gas Transmission/Marketing,172,113091.71
INE674K01013,Aditya Birla Cap,ABCAPITAL,540691,ABCAPITAL.NS,Finance,Investment Company,413,113039.99
INE053F01010,I R F C,IRFC,543257,IRFC.NS,Finance,Financial Institution,86.4,112911.89
INE640G01020,SBI Funds Mgt.,SBIFUNDS,544829,SBIFUNDS.NS,Capital Markets,Asset Management Company,549.55,111933.86
INE127D01025,HDFC AMC,HDFCAMC,541729,HDFCAMC.NS,Capital Markets,Asset Management Company,2610,111919.55
INE010B01027,Zydus Lifesci.,ZYDUSLIFE,532321,ZYDUSLIFE.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,1120,111720.43
INE196A01026,Marico,MARICO,531642,MARICO.NS,Agricultural Food & other Products,Edible Oil,849.25,110265.59
INE324D01010,LG Electronics,LGEINDIA,544576,LGEINDIA.NS,Consumer Durables,Household Appliances,1623.3,110185.12
INE205A01025,Vedanta,VEDL,500295,VEDL.NS,Diversified Metals,Diversified Metals,279,109099.83
INE200A01026,GE Vernova T&D,GVT&D,522275,GVT&D.NS,Electrical Equipment,Heavy Electrical Equipment,4127.2,105676.96
INE776C01039,GMR Airports,GMRAIRPORT,532754,GMRAIRPORT.NS,Transport Infrastructure,Airport & Airport services,99.63,105199.08
INE281B01032,Lloyds Metals,LLOYDSME,512455,LLOYDSME.NS,Minerals & Mining,Industrial Minerals,1865.9,105032.81
INE982J01020,One 97,PAYTM,543396,PAYTM.NS,Financial Technology (Fintech),Financial Technology (Fintech),1632,104632.92
INE053A01029,Indian Hotels Co,INDHOTEL,500850,INDHOTEL.NS,Leisure Services,Hotels & Resorts,730,103910.55
INE192A01025,Tata Consumer,TATACONSUM,500800,TATACONSUM.NS,Agricultural Food & other Products,Tea & Coffee,1049,103818.48
INE079A01024,Ambuja Cements,AMBUJACEM,500425,AMBUJACEM.NS,Cement & Cement Products,Cement & Cement Products,414.5,102995.67
INE249Z01020,Mazagon Dock,MAZDOCK,543237,MAZDOCK.NS,Industrial Manufacturing,Ship Building & Allied Services,2552,102942.58
INE881D01027,Oracle Fin.Serv.,OFSS,532466,OFSS.NS,IT - Software,Software Products,11724,102096.26
INE208A01029,Ashok Leyland,ASHOKLEY,500477,ASHOKLEY.NS,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,173,101617.68
INE326A01037,Lupin,LUPIN,500257,LUPIN.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,2201.8,100673.46
INE121E01018,JSW Energy,JSWENERGY,533148,JSWENERGY.NS,Power,Power Generation,544.95,99915.64
INE121J01017,Indus Towers,INDUSTOWER,534816,INDUSTOWER.NS,Telecom - Services,Telecom - Infrastructure,375.75,99128.97
INE465A01025,Bharat Forge,BHARATFORG,500493,BHARATFORG.NS,Auto Components,Auto Components & Equipments,2063,98629.68
INE634S01028,Mankind Pharma,MANKIND,543904,MANKIND.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,2384,98458.24
INE089A01031,Dr Reddy's Labs,DRREDDY,500124,DRREDDY.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,1174.7,98049.37
INE947Q01028,Laurus Labs,LAURUSLABS,540222,LAURUSLABS.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,1802,97364.26
INE027H01010,Max Healthcare,MAXHEALTH,543220,MAXHEALTH.NS,Healthcare Services,Hospital,1000,97327.65
INE388Y01029,FSN E-Commerce,NYKAA,543384,NYKAA.NS,Retailing,E-Retail/ E-Commerce,334,95661.41
INE102D01028,Godrej Consumer,GODREJCP,532424,GODREJCP.NS,Personal Products,Personal Care,933,95474.35
INE0VDM01015,Meesho,MEESHO,544632,MEESHO.NS,Retailing,E-Retail/ E-Commerce,205.69,95102.2
INE406A01037,Aurobindo Pharma,AUROPHARMA,524804,AUROPHARMA.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,1621.3,94165.37
INE459N01021,Manipal Health,MANIPALHOS,544847,MANIPALHOS.NS,Healthcare Services,Hospital,715.3,94088.93
INE935N01020,Dixon Technolog.,DIXON,540699,DIXON.NS,Consumer Durables,Consumer Electronics,14850,90796.06
INE262H01021,Persistent Systems,PERSISTENT,533179,PERSISTENT.NS,IT - Software,Computers - Software & Consulting,5667.5,89404.81
INE171A01029,Federal Bank,FEDERALBNK,500469,FEDERALBNK.NS,Banks,Private Sector Bank,361,89232.42
INE008A01015,IDBI Bank,IDBI,500116,IDBI.NS,Banks,Private Sector Bank,82.24,88427.76
INE070A01015,Shree Cement,SHREECEM,500387,SHREECEM.NS,Cement & Cement Products,Cement & Cement Products,24280,87604.06
INE663F01032,Info Edg.(India),NAUKRI,532777,NAUKRI.NS,Retailing,Internet & Catalogue Retail,1350.1,87543.27
INE020B01018,REC Ltd,RECLTD,532955,RECLTD.NS,Finance,Financial Institution,326.65,86014.26
INE591G01025,Coforge,COFORGE,532541,COFORGE.NS,IT - Software,Computers - Software & Consulting,1891.7,83787.27
INE949L01017,AU Small Finance,AUBANK,540611,AUBANK.NS,Banks,Other Bank,1108.2,83107.34
INE417T01026,PB Fintech.,POLICYBZR,543390,POLICYBZR.NS,Financial Technology (Fintech),Financial Technology (Fintech),1795.2,83062.98
INE745G01043,Multi Comm. Exc.,MCX,534091,MCX.NS,Capital Markets,Exchange and Data Platform,3185,81214.9
INE765G01017,ICICI Lombard,ICICIGI,540716,ICICIGI.NS,Insurance,General Insurance,1617,80773.56
INE298J01013,Nippon Life Ind.,NAM-INDIA,540767,NAM-INDIA.NS,Capital Markets,Asset Management Company,1251,80028.73
INE176B01034,Havells India,HAVELLS,517354,HAVELLS.NS,Consumer Durables,Consumer Electronics,1268,79574.82
INE343G01021,Bharti Hexacom,BHARTIHEXA,544162,BHARTIHEXA.NS,Telecom - Services,Telecom - Cellular & Fixed line services,1591.2,79560
INE498L01015,L&T Finance Ltd,LTF,533519,LTF.NS,Finance,Non Banking Financial Company (NBFC),317.15,79479.24
INE095A01012,IndusInd Bank,INDUSINDBK,532187,INDUSINDBK.NS,Banks,Private Sector Bank,1005.6,78350.37
INE880J01026,JSW Infrast,JSWINFRA,543994,JSWINFRA.NS,Transport Infrastructure,Port & Port services,335.7,78218.15
INE00H001014,Swiggy,SWIGGY,544285,SWIGGY.NS,Retailing,E-Retail/ E-Commerce,282.5,77978.86
INE094A01015,H P C L,HINDPETRO,500104,HINDPETRO.NS,Petroleum Products,Refineries & Marketing,363.25,77293.15
INE274J01014,Oil India,OIL,533106,OIL.NS,Oil,Oil Exploration & Production,475,77263.87
INE0ONG01011,NTPC Green Ene.,NTPCGREEN,544289,NTPCGREEN.NS,Power,Power Generation,91.43,77041.93
INE377N01017,Waaree Energies,WAAREEENER,544277,WAAREEENER.NS,Electrical Equipment,Other Electrical Equipment,2678.2,77038.78
INE848E01016,NHPC Ltd,NHPC,533098,NHPC.NS,Power,Power Generation,76.15,76492.94
INE647A01010,SRF,SRF,503806,SRF.NS,Chemicals & Petrochemicals,Commodity Chemicals,2571.9,76237.5
INE092T01019,IDFC First Bank,IDFCFIRSTB,539437,IDFCFIRSTB.NS,Banks,Private Sector Bank,86.75,74789.08
INE726G01019,ICICI Pru Life,ICICIPRULI,540133,ICICIPRULI.NS,Insurance,Life Insurance,515,74716.75
INE584A01023,NMDC,NMDC,526371,NMDC.NS,Minerals & Mining,Industrial Minerals,84.61,74387.57
INE405E01023,Uno Minda,UNOMINDA,532539,UNOMINDA.NS,Auto Components,Auto Components & Equipments,1265,73049.6
INE139A01034,Natl. Aluminium,NATIONALUM,532234,NATIONALUM.NS,Non - Ferrous Metals,Aluminium,394.45,72445.94
INE114A01011,S A I L,SAIL,500113,SAIL.NS,Ferrous Metals,Iron & Steel,173.46,71648.09
INE528G01035,Yes Bank,YESBANK,532648,YESBANK.NS,Banks,Private Sector Bank,22.8,71564.15
INE399L01023,Adani Total Gas,ATGL,542066,ATGL.NS,Gas,LPG/CNG/PNG/LNG Supplier,646.1,71058.73
INE016A01026,Dabur India,DABUR,500096,DABUR.NS,Personal Products,Personal Care,400.5,71046.98
INE377Y01014,Bajaj Housing,BAJAJHFL,544252,BAJAJHFL.NS,Finance,Housing Finance Company,84.85,70699.86
INE372A01015,Apar Inds.,APARINDS,532259,APARINDS.NS,Electrical Equipment,Other Electrical Equipment,16856,70580.01
INE811K01011,Prestige Estates,PRESTIGE,533274,PRESTIGE.NS,Realty,"Residential, Commercial Projects",1631,70252.1
INE211B01039,Phoenix Mills,PHOENIXLTD,503100,PHOENIXLTD.NS,Realty,"Residential, Commercial Projects",1930,69029.1
INE093I01010,Oberoi Realty,OBEROIRLTY,533273,OBEROIRLTY.NS,Realty,"Residential, Commercial Projects",1886,68575.38
INE061F01013,Fortis Health.,FORTIS,532843,FORTIS.NS,Healthcare Services,Hospital,907.1,68482.25
INE376G01013,Biocon,BIOCON,532523,BIOCON.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,415.55,67721.94
INE914M01019,Aster DM Quality,ASTERDM,540975,ASTERDM.NS,Healthcare Services,Hospital,761.55,66382.21
INE935A01035,Glenmark Pharma.,GLENMARK,532296,GLENMARK.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,2317.9,65416.86
INE084A01016,Bank of India,BANKINDIA,532149,BANKINDIA.NS,Banks,Public Sector Bank,142.79,65007.54
INE540L01014,Alkem Lab,ALKEM,539523,ALKEM.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,5400,64565.1
INE040H01021,Suzlon Energy,SUZLON,532667,SUZLON.NS,Electrical Equipment,Heavy Electrical Equipment,46.71,63690.89
INE565A01014,I O B,IOB,532388,IOB.NS,Banks,Public Sector Bank,33.01,63566
INE813H01021,Torrent Power,TORNTPOWER,532779,TORNTPOWER.NS,Power,Integrated Power Utilities,1247.7,62872.05
INE513A01022,Schaeffler India,SCHAEFFLER,505790,SCHAEFFLER.NS,Auto Components,Auto Components & Equipments,4017.9,62801.25
INE481Y01014,General Insuranc,GICRE,540755,GICRE.NS,Insurance,General Insurance,355.75,62412.78
INE303R01014,Kalyan Jewellers,KALYANKJIL,543278,KALYANKJIL.NS,Consumer Durables,"Gems, Jewellery And Watches",603.55,62331.68
INE944F01028,Radico Khaitan,RADICO,532497,RADICO.NS,Beverages,Breweries & Distilleries,4639.8,62165.15
INE018E01016,SBI Cards,SBICARD,543066,SBICARD.NS,Finance,Non Banking Financial Company (NBFC),649,61761.6
INE457A01014,Bank of Maha,MAHABANK,532525,MAHABANK.NS,Banks,Public Sector Bank,80.26,61732.42
INE484J01027,Godrej Propert.,GODREJPROP,533150,GODREJPROP.NS,Realty,"Residential, Commercial Projects",2035,61299.59
INE463A01038,Berger Paints,BERGEPAINT,509480,BERGEPAINT.NS,Consumer Durables,Paints,524.4,61145.19
INE191B01025,Welspun Corp,WELCORP,532144,WELCORP.NS,Industrial Products,Iron & Steel Products,2311.9,60985.76
INE976G01028,RBL Bank,RBLBANK,540065,RBLBANK.NS,Banks,Private Sector Bank,392.5,60841.74
INE338I01027,Motil.Oswal.Fin.,MOTILALOFS,532892,MOTILALOFS.NS,Capital Markets,Stockbroking & Allied,990,59630
INE702C01027,APL Apollo Tubes,APLAPOLLO,533758,APLAPOLLO.NS,Industrial Products,Iron & Steel Products,2139,59391.13
INE169A01031,Coromandel Inter,COROMANDEL,506395,COROMANDEL.NS,Fertilizers & Agrochemicals,Fertilizers,1996.1,58888.23
INE220G01021,Jindal Stain.,JSL,532508,JSL.NS,Ferrous Metals,Iron & Steel,701.35,57820.67
INE756I01012,HDB FINANC SER,HDBFS,544429,HDBFS.NS,Finance,Non Banking Financial Company (NBFC),695.85,57800.36
INE0LEZ01016,Ather Energy,ATHERENERG,544397,ATHERENERG.NS,Automobiles,2/3 Wheelers,1462,57674.9
INE473A01011,Linde India,LINDEINDIA,523457,LINDEINDIA.NS,Chemicals & Petrochemicals,Industrial Gases,6672,56898.82
INE883A01011,MRF,MRF,500290,MRF.NS,Auto Components,Tyres & Rubber Products,132665,56265.12
INE974X01010,Tube Investments,TIINDIA,540762,TIINDIA.NS,Auto Components,Auto Components & Equipments,2885.8,55861.1
INE358A01014,Abbott India,ABBOTINDIA,500488,ABBOTINDIA.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,26230,55738.75
INE531E01026,Hindustan Copper,HINDCOPPER,513599,HINDCOPPER.NS,Non - Ferrous Metals,Copper,572.7,55381.47
INE180A01020,Max Financial,MFSL,500271,MFSL.NS,Insurance,Life Insurance,1585,54700.69
INE774D01024,M & M Fin. Serv.,M&MFIN,532720,M&MFIN.NS,Finance,Non Banking Financial Company (NBFC),381.6,53041.3
INE878B01027,KEI Industries,KEI,517569,KEI.NS,Industrial Products,Cables - Electricals,5527.6,52844.18
INE1JAR25012,Knowledge Realty,KRT,544481,KRT.NS,Realty,Real Estate Investment Trusts (REITs),115.99,51434.6
INE259A01022,Colgate-Palmoliv,COLPAL,500830,COLPAL.NS,Personal Products,Personal Care,1889,51378.09
INE073K01018,Sona BLW Precis.,SONACOMS,543300,SONACOMS.NS,Auto Components,Auto Components & Equipments,817.6,51009.3
INE09N301011,Gujarat Fluoroch,FLUOROCHEM,542812,FLUOROCHEM.NS,Chemicals & Petrochemicals,Specialty Chemicals,4621.9,50771.57
INE188A01015,F A C T,FACT,590024,FACT.NS,Fertilizers & Agrochemicals,Fertilizers,783.3,50685.15
INE660A01013,Sundaram Finance,SUNDARMFIN,590071,SUNDARMFIN.NS,Finance,Non Banking Financial Company (NBFC),4534.5,50380.05
INE171Z01026,Bharat Dynamics,BDL,541143,BDL.NS,Aerospace & Defense,Aerospace & Defense,1359,49815.84
INE208C01025,Aegis Logistics,AEGISLOG,500003,AEGISLOG.NS,Gas,Trading - Gas,1417.9,49768.29
INE202B01038,Piramal Finance.,PIRAMALFIN,544597,PIRAMALFIN.NS,Finance,Housing Finance Company,2180.8,49433.87
INE159A01016,Glaxosmi. Pharma,GLAXO,500660,GLAXO.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,2902.2,49165.02
INE0CZ201020,Anthem Bioscienc,ANTHEM,544449,ANTHEM.NS,Pharmaceuticals & Biotechnology,Biotechnology,871.45,49081.66
INE466L01038,360 ONE,360ONE,542772,360ONE.NS,Capital Markets,Stockbroking & Allied,1199,48866.98
INE571A01038,Ipca Labs.,IPCALAB,524494,IPCALAB.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,1911.2,48487.95
INE01EA01019,Vishal Mega Mart,VMM,544307,VMM.NS,Retailing,Diversified Retail,103.43,48454.98
INE628A01036,UPL,UPL,512070,UPL.NS,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,569,48018.2
INE0BS701011,Premier Energies,PREMIERENE,544238,PREMIERENE.NS,Electrical Equipment,Other Electrical Equipment,1053,47801.09
INE152A01029,Thermax,THERMAX,500411,THERMAX.NS,Electrical Equipment,Heavy Electrical Equipment,3967.8,47278.84
INE151A01013,Tata Comm,TATACOMM,500483,TATACOMM.NS,Telecom - Services,Telecom - Cellular & Fixed line services,1655.4,47181.67
INE415G01027,Rail Vikas,RVNL,542649,RVNL.NS,Construction,Civil Construction,225.3,46975.5
INE206F01022,Authum Invest,AIIL,539177,AIIL.NS,Finance,Non Banking Financial Company (NBFC),552.25,46898.48
INE068V01023,Gland Pharma,GLAND,543245,GLAND.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,2819.3,46509.05
INE356A01018,Mphasis,MPHASIS,526299,MPHASIS.NS,IT - Software,Computers - Software & Consulting,2430,46382.88
INE195A01028,Supreme Inds.,SUPREMEIND,509930,SUPREMEIND.NS,Industrial Products,Plastic Products - Industrial,3642,46263.19
INE031B01049,Ajanta Pharma,AJANTPHARM,532331,AJANTPHARM.NS,Pharmaceuticals & Biotechnology,Pharmaceuticals,3639.8,45482.59
